nom_producte,tipus_subproducte,preu_producte,url_producte,descripcio_producte
BEKVÄM,"
        Taburete escalón,
          ","19,99€",https://www.ikea.com/es/es/p/bekvam-taburete-escalon-negro-30178884/,"
          Resulta muy útil para guardar cosas en zonas altas. Este taburete escalón, además de ser muy bonito, va muy bien para llegar a la parte superior de los armarios.
          "
FLINTAN,"
        Silla de trabajo","69,99€",https://www.ikea.com/es/es/p/flintan-silla-trabajo-vissle-gris-20336836/,
MARIUS,"
        Taburete",4€,https://www.ikea.com/es/es/p/marius-taburete-negro-10135659/,
SNILLE,"
        Silla giratoria","19,99€",https://www.ikea.com/es/es/p/snille-silla-giratoria-blanco-s79046260/,
LANGUR,"
        Funda acolchada trona",10€,https://www.ikea.com/es/es/p/langur-funda-acolchada-trona-amarillo-30346986/,
FANBYN,"
        Silla",59€,https://www.ikea.com/es/es/p/fanbyn-silla-blanco-s49228474/,
JANINGE,"
        Silla","29,99€",https://www.ikea.com/es/es/p/janinge-silla-blanco-00246078/,"
          Ante el reto de resolver la ecuación de combinar diseño, función y calidad en una silla, nuestros diseñadores crearon JANINGE. Es lo suficientemente duradera como para usarla en un restaurante y tiene un diseño que te quieres llevar a casa.
          "
STOCKHOLM 2017,"
        Sillón con cojines",199€,https://www.ikea.com/es/es/p/stockholm-2017-sillon-con-cojines-ratan-rostanga-blanco-s99207129/,"
          Artesanía de calidad en ratán natural con un tamaño generoso y un diseño sencillo. Queda bien solo o combinado con el armario y la mesita de centro a juego de la serie STOCKHOLM.
          "
MOLTE,"
        Silla de escritorio",15€,https://www.ikea.com/es/es/p/molte-silla-escritorio-gris-20292776/,
BEKVÄM,"
        Escalera, 3 peldaños,
          ","29,99€",https://www.ikea.com/es/es/p/bekvam-escalera-3-peldanos-haya-90190411/,"
          Resulta muy práctico guardar las cosas en sitios altos, pero a veces no es fácil llegar a ellas. Esta escalera, además de bonita, va muy bien para llegar a la parte más alta de los armarios.
          "
TERJE,"
        Silla plegable","12,99€",https://www.ikea.com/es/es/p/terje-silla-plegable-blanco-80222441/,"
          Ideal para el rincón del desayuno o para cuando necesites sillas extra. El agujero del respaldo te permite colgarla en la pared y liberar espacio cuando no la uses.
          "
INGOLF,"
        Taburete alto,
          ",69€,https://www.ikea.com/es/es/p/ingolf-taburete-alto-blanco-00121766/,"
          La serie INGOLF queda igual de bien en la cocina que en el comedor, el dormitorio o el pasillo. Su construcción de madera maciza aguanta bien los golpes.
          "
TERJE,"
        Silla plegable","12,99€",https://www.ikea.com/es/es/p/terje-silla-plegable-negro-00222440/,"
          Ideal para el rincón del desayuno o para cuando necesites sillas extra. El agujero del respaldo te permite colgarla en la pared y liberar espacio cuando no la uses.
          "
MARTIN,"
        Silla","19,99€",https://www.ikea.com/es/es/p/martin-silla-negro-blanco-s09219532/,
BOSSE,"
        Taburete alto,
          ","29,99€",https://www.ikea.com/es/es/p/bosse-taburete-alto-abedul-70087212/,
GUNDE,"
        Silla plegable",7€,https://www.ikea.com/es/es/p/gunde-silla-plegable-negro-00217797/,
INGOLF,"
        Taburete","39,99€",https://www.ikea.com/es/es/p/ingolf-taburete-blanco-00152282/,"
          La serie INGOLF queda igual de bien en la cocina que en el comedor, el dormitorio o el pasillo. Su construcción de madera maciza aguanta bien los golpes.
          "
NISSE,"
        Silla plegable",10€,https://www.ikea.com/es/es/p/nisse-silla-plegable-azul-oscuro-lila-90412426/,"
          Una silla ligera y fácil de sacar y desplegar cuando vienen invitados. Fácil de plegar y guardar cuando no se necesita.
          "
ADDE,"
        Silla",10€,https://www.ikea.com/es/es/p/adde-silla-blanco-10219178/,
MARTIN,"
        Silla","19,99€",https://www.ikea.com/es/es/p/martin-silla-negro-negro-s09219527/,
YPPERLIG,"
        Banco,
          ","39,99€",https://www.ikea.com/es/es/p/ypperlig-banco-haya-40345378/,"
          Este banco estrecho de madera maciza cabe en vestíbulos muy pequeños, y puedes moverlo fácilmente cuando necesitas asientos adicionales en la mesa de comedor.
          "
ODGER,"
        Silla",69€,https://www.ikea.com/es/es/p/odger-silla-blanco-beige-60359996/,"
          Montaje sencillo con un solo clic y sin herramientas. Resulta muy cómoda gracias a la forma redondeada del asiento y el respaldo. Está hecha de madera renovable y plástico reciclado. ¡Una gran adquisición en todos los sentidos!
          "
FRANKLIN,"
        Taburete alto plegable,
          ","34,99€",https://www.ikea.com/es/es/p/franklin-taburete-alto-plegable-blanco-blanco-70404875/,
TOBIAS,"
        Silla",59€,https://www.ikea.com/es/es/p/tobias-silla-transparente-cromado-80349671/,"
          Una silla transparente que se impregna del entorno y los colores de la habitación. Parece que está flotando, y gracias a la flexibilidad del asiento, tú también tendrás la sensación de estar flotando.
          "
KULLABERG,"
        Taburete","39,99€",https://www.ikea.com/es/es/p/kullaberg-taburete-pino-negro-10363651/,
NORNA,"
        Cojín para silla",6€,https://www.ikea.com/es/es/p/norna-cojin-silla-laila-natural-20013073/,
EKEDALEN / EKEDALEN,"
        Mesa con 4 sillas,
          ",369€,https://www.ikea.com/es/es/p/ekedalen-ekedalen-mesa-con-4-sillas-blanco-orrsta-gris-claro-s79296857/,
TOBIAS,"
        Silla",59€,https://www.ikea.com/es/es/p/tobias-silla-gris-cromado-20349674/,"
          Una silla transparente que se impregna del entorno y los colores de la habitación. Parece que está flotando, y gracias a la flexibilidad del asiento, tú también tendrás la sensación de estar flotando.
          "
ANTILOP,"
        Bandeja para sillín de trona",4€,https://www.ikea.com/es/es/p/antilop-bandeja-sillin-trona-blanco-40076093/,
MARKUS,"
        Silla de trabajo",159€,https://www.ikea.com/es/es/p/markus-silla-trabajo-vissle-gris-oscuro-70261150/,"
          La altura y el ángulo de esta silla se pueden regular para que resulte aún más cómoda. El respaldo de malla deja pasar el aire y te mantiene fresco incluso cuando el trabajo aprieta. Diseñada para durar muchos años.
          "
TÄRENDÖ / ADDE,"
        Mesa con 4 sillas,
          ","69,99€",https://www.ikea.com/es/es/p/tarendo-adde-mesa-con-4-sillas-negro-s79010690/,
KLÄMMIG,"
        Cojín soporte&funda",7€,https://www.ikea.com/es/es/p/klammig-cojin-soporte-funda-gris-amarillo-20373089/,
EKEDALEN,"
        Silla",50€,https://www.ikea.com/es/es/p/ekedalen-silla-roble-orrsta-gris-claro-40341021/,"
          Gracias al asiento tapizado y al diseño curvo del respaldo, no querrás levantarte. Elige entre diferentes fundas, mételas en la lavadora cuando haga falta y, si quieres, cómpralas en más de un color para ir variando.
          "
INGOLF,"
        Silla",50€,https://www.ikea.com/es/es/p/ingolf-silla-negro-marron-60217822/,"
          La serie INGOLF queda igual de bien en la cocina que en el comedor, el dormitorio o el pasillo. Su construcción de madera maciza aguanta bien los golpes.
          "
VOLFGANG,"
        Silla",50€,https://www.ikea.com/es/es/p/volfgang-silla-cromado-bomstad-negro-90402352/,"
          Un asiento mullido, acolchado y flexible que te permite descansar y relajarte incluso si permaneces sentado durante mucho tiempo. Los taburetes y sillas de comedor VOLFGANG son igual de cómodos.
          "
JANINGE,"
        Silla","29,99€",https://www.ikea.com/es/es/p/janinge-silla-amarillo-60246080/,"
          Ante el reto de resolver la ecuación de combinar diseño, función y calidad en una silla, nuestros diseñadores crearon JANINGE. Es lo suficientemente duradera como para usarla en un restaurante y tiene un diseño que te quieres llevar a casa.
          "
EKEDALEN,"
        Silla",50€,https://www.ikea.com/es/es/p/ekedalen-silla-marron-oscuro-orrsta-gris-claro-80340760/,"
          Gracias al asiento tapizado y al diseño curvo del respaldo, no querrás levantarte. Elige entre diferentes fundas, mételas en la lavadora cuando haga falta y, si quieres, cómpralas en más de un color para ir variando.
          "
EKENÄSET,"
        Sillón",199€,https://www.ikea.com/es/es/p/ekenaset-sillon-isunda-gris-80275811/,"
          La primera vez que introdujimos esta popular silla en el surtido fue en los años cincuenta. Casi 60 años después, la recuperamos con el mismo aspecto, comodidad y diseño artesanal. ¡Disfrútala!
          "
JULES,"
        Silla escritorio niño","39,99€",https://www.ikea.com/es/es/p/jules-silla-escritorio-nino-azul-blanco-s29207712/,
EKEDALEN / EKEDALEN,"
        Mesa +2sillas+banco,
          ",348€,https://www.ikea.com/es/es/p/ekedalen-ekedalen-mesa-2sillas-banco-blanco-orrsta-gris-claro-s99221347/,
LISABO / JANINGE,"
        Mesa con 4 sillas,
          ","218,96€",https://www.ikea.com/es/es/p/lisabo-janinge-mesa-con-4-sillas-chapa-fresno-blanco-s49103247/,
